AvatarPosition;Email;Framecount;HandPositionChange;HandRotation;HitDetected;HitPatternID;HitTotal;PatternID;SequenceID;SessionID;SpeedModifier;SteeringType;Timestamp;TotalHandPositionChange;TotalHandRotation
1,35544;anonymous;478;0,005770709;25,98604;FALSE;NULL;0;0;5;f17f2691-3bb1-44fe-851e-22e07ed34140;1;MovementCondition;2023-05-18 13:05:56.6894;0,005770709;25,98604
1,35544;anonymous;479;0,01385288;6,514212;FALSE;NULL;0;0;5;f17f2691-3bb1-44fe-851e-22e07ed34140;1;MovementCondition;2023-05-18 13:05:56.7080;0,01962359;32,50025
1,35544;anonymous;480;0,01156506;3,768695;FALSE;NULL;0;0;5;f17f2691-3bb1-44fe-851e-22e07ed34140;1;MovementCondition;2023-05-18 13:05:56.7213;0,03118865;36,26894
1,35544;anonymous;481;0,0172146;3,714468;FALSE;NULL;0;0;5;f17f2691-3bb1-44fe-851e-22e07ed34140;1;MovementCondition;2023-05-18 13:05:56.7357;0,04840326;39,98341
1,35544;anonymous;482;0,01204652;2,455819;FALSE;NULL;0;0;5;f17f2691-3bb1-44fe-851e-22e07ed34140;1;MovementCondition;2023-05-18 13:05:56.7506;0,06044978;42,43923
1,35544;anonymous;483;0,009131901;4,414123;FALSE;NULL;0;0;5;f17f2691-3bb1-44fe-851e-22e07ed34140;1;MovementCondition;2023-05-18 13:05:56.7650;0,06958168;46,85335
1,352521;anonymous;484;0,02004036;11,14216;FALSE;NULL;0;0;5;f17f2691-3bb1-44fe-851e-22e07ed34140;1;MovementCondition;2023-05-18 13:05:56.7907;0,08962204;57,99551
1,349349;anonymous;485;0,009839561;12,04472;FALSE;NULL;0;0;5;f17f2691-3bb1-44fe-851e-22e07ed34140;1;MovementCondition;2023-05-18 13:05:56.8051;0,0994616;70,04024
1,349349;anonymous;486;0,008995704;7,369957;FALSE;NULL;0;0;5;f17f2691-3bb1-44fe-851e-22e07ed34140;1;MovementCondition;2023-05-18 13:05:56.8339;0,1084573;77,41019
1,349349;anonymous;487;0,02149502;2,864599;FALSE;NULL;0;0;5;f17f2691-3bb1-44fe-851e-22e07ed34140;1;MovementCondition;2023-05-18 13:05:56.8740;0,1299523;80,2748
1,349349;anonymous;488;0,02350691;-1,228149;FALSE;NULL;0;0;5;f17f2691-3bb1-44fe-851e-22e07ed34140;1;MovementCondition;2023-05-18 13:05:56.8883;0,1534592;79,04665
1,349349;anonymous;489;0,01127518;-3,431976;FALSE;NULL;0;0;5;f17f2691-3bb1-44fe-851e-22e07ed34140;1;MovementCondition;2023-05-18 13:05:56.9021;0,1647344;75,61467
1,349349;anonymous;490;0,01115641;-5,722839;FALSE;NULL;0;0;5;f17f2691-3bb1-44fe-851e-22e07ed34140;1;MovementCondition;2023-05-18 13:05:56.9154;0,1758908;69,89183
