AvatarPosition;Email;Framecount;HandRotation;HitDetected;PatternID;SessionID;SpeedModifier;SteeringType;Timestamp
-2,026335;anonymous;246;18,23701;FALSE;0;5436ac09-06a2-4b0c-8676-71cf3ae67b0f;1;MappingCondition;2023-05-17 15:03:12.5035
-2,026335;anonymous;247;19,17782;FALSE;0;5436ac09-06a2-4b0c-8676-71cf3ae67b0f;1;MappingCondition;2023-05-17 15:03:12.5426
-2,026335;anonymous;248;18,97879;FALSE;0;5436ac09-06a2-4b0c-8676-71cf3ae67b0f;1;MappingCondition;2023-05-17 15:03:12.5504
-2,026335;anonymous;249;18,1352;FALSE;0;5436ac09-06a2-4b0c-8676-71cf3ae67b0f;1;MappingCondition;2023-05-17 15:03:12.5617
-2,026335;anonymous;250;17,78281;FALSE;0;5436ac09-06a2-4b0c-8676-71cf3ae67b0f;1;MappingCondition;2023-05-17 15:03:12.5766
-2,026335;anonymous;251;17,94199;FALSE;0;5436ac09-06a2-4b0c-8676-71cf3ae67b0f;1;MappingCondition;2023-05-17 15:03:12.5894
-2,026335;anonymous;252;18,53002;FALSE;0;5436ac09-06a2-4b0c-8676-71cf3ae67b0f;1;MappingCondition;2023-05-17 15:03:12.6028
-2,026335;anonymous;253;20,00286;FALSE;0;5436ac09-06a2-4b0c-8676-71cf3ae67b0f;1;MappingCondition;2023-05-17 15:03:12.6172
-2,026335;anonymous;254;20,29575;FALSE;0;5436ac09-06a2-4b0c-8676-71cf3ae67b0f;1;MappingCondition;2023-05-17 15:03:12.6470
-2,026335;anonymous;255;19,65042;FALSE;0;5436ac09-06a2-4b0c-8676-71cf3ae67b0f;1;MappingCondition;2023-05-17 15:03:12.6604
-2,238922;anonymous;256;20,1503;FALSE;0;5436ac09-06a2-4b0c-8676-71cf3ae67b0f;1;MappingCondition;2023-05-17 15:03:12.6717
-2,275459;anonymous;257;20,47913;FALSE;0;5436ac09-06a2-4b0c-8676-71cf3ae67b0f;1;MappingCondition;2023-05-17 15:03:12.6851
-2,245054;anonymous;258;20,20549;FALSE;0;5436ac09-06a2-4b0c-8676-71cf3ae67b0f;1;MappingCondition;2023-05-17 15:03:12.6985
-2,28194;anonymous;259;20,53746;FALSE;0;5436ac09-06a2-4b0c-8676-71cf3ae67b0f;1;MappingCondition;2023-05-17 15:03:12.7124
-2,28194;anonymous;260;20,81144;FALSE;0;5436ac09-06a2-4b0c-8676-71cf3ae67b0f;1;MappingCondition;2023-05-17 15:03:12.7261
-2,28194;anonymous;261;20,74765;FALSE;0;5436ac09-06a2-4b0c-8676-71cf3ae67b0f;1;MappingCondition;2023-05-17 15:03:12.7404
-2,28194;anonymous;262;20,68269;FALSE;0;5436ac09-06a2-4b0c-8676-71cf3ae67b0f;1;MappingCondition;2023-05-17 15:03:12.7538
-2,28194;anonymous;263;20,72855;FALSE;0;5436ac09-06a2-4b0c-8676-71cf3ae67b0f;1;MappingCondition;2023-05-17 15:03:12.7681
-2,28194;anonymous;264;20,81297;FALSE;0;5436ac09-06a2-4b0c-8676-71cf3ae67b0f;1;MappingCondition;2023-05-17 15:03:12.7806
-2,28194;anonymous;265;20,92857;FALSE;0;5436ac09-06a2-4b0c-8676-71cf3ae67b0f;1;MappingCondition;2023-05-17 15:03:12.7955
-2,28194;anonymous;266;20,93244;FALSE;0;5436ac09-06a2-4b0c-8676-71cf3ae67b0f;1;MappingCondition;2023-05-17 15:03:12.8094
-2,28194;anonymous;267;20,99429;FALSE;0;5436ac09-06a2-4b0c-8676-71cf3ae67b0f;1;MappingCondition;2023-05-17 15:03:12.8228
-2,28194;anonymous;268;21,08868;FALSE;0;5436ac09-06a2-4b0c-8676-71cf3ae67b0f;1;MappingCondition;2023-05-17 15:03:12.8377
-2,28194;anonymous;269;21,081;FALSE;0;5436ac09-06a2-4b0c-8676-71cf3ae67b0f;1;MappingCondition;2023-05-17 15:03:12.8506
-2,28194;anonymous;270;21,08884;FALSE;0;5436ac09-06a2-4b0c-8676-71cf3ae67b0f;1;MappingCondition;2023-05-17 15:03:12.8660
-2,28194;anonymous;271;21,15477;FALSE;0;5436ac09-06a2-4b0c-8676-71cf3ae67b0f;1;MappingCondition;2023-05-17 15:03:12.8793
-2,28194;anonymous;272;21,20976;FALSE;0;5436ac09-06a2-4b0c-8676-71cf3ae67b0f;1;MappingCondition;2023-05-17 15:03:12.8938
-2,28194;anonymous;273;21,20411;FALSE;0;5436ac09-06a2-4b0c-8676-71cf3ae67b0f;1;MappingCondition;2023-05-17 15:03:12.9071
-2,28194;anonymous;274;21,12307;FALSE;0;5436ac09-06a2-4b0c-8676-71cf3ae67b0f;1;MappingCondition;2023-05-17 15:03:12.9205
-2,28194;anonymous;275;20,92279;FALSE;0;5436ac09-06a2-4b0c-8676-71cf3ae67b0f;1;MappingCondition;2023-05-17 15:03:12.9343
