AvatarPosition;Email;Framecount;HandPositionChange;HandRotation;HitDetected;HitPatternID;HitTotal;PatternID;SequenceID;SessionID;SpeedModifier;SteeringType;Timestamp;TotalHandPositionChange;TotalHandRotation
-0,4610664;anonymous;297;0,0004054419;-1,824097;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:29.7480;12,00946;-584,2772
-0,4610664;anonymous;298;0,0008414023;-1,866943;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:29.7623;12,0103;-586,1442
-0,4610664;anonymous;299;0,001263837;-1,926178;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:29.7761;12,01156;-588,0703
-0,4610664;anonymous;300;0,001406781;-2,005524;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:29.7925;12,01297;-590,0758
-0,4610664;anonymous;301;0,001899266;-1,66449;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:29.8226;12,01487;-591,7403
-0,4610664;anonymous;302;0,0005251652;-1,238403;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:29.8312;12,01539;-592,9787
-0,4610664;anonymous;303;0,0005192342;-0,8345337;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:29.8435;12,01591;-593,8132
-0,4610664;anonymous;304;0,001022117;-0,3677368;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:29.8584;12,01694;-594,181
0,04073391;anonymous;305;0,001233683;0,3666052;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:29.8865;12,01817;-593,8144
0,1088538;anonymous;306;0,001293163;0,9796841;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:29.9003;12,01946;-592,8347
0,1015499;anonymous;307;0,0004055965;0,9139489;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:29.9147;12,01987;-591,9208
