AvatarPosition;Email;Framecount;HandPositionChange;HandRotation;HitDetected;HitPatternID;HitTotal;PatternID;SequenceID;SessionID;SewuenceID;SpeedModifier;SteeringType;Timestamp;TotalHandPositionChange;TotalHandRotation
0,5237308;anonymous;1217;0,0009024424;2,722693;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:53.5183;12,35008;-1225,306
0,5237308;anonymous;1218;0,0005160632;2,808634;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:53.5331;12,35059;-1222,497
0,5237308;anonymous;1219;8,814714E-05;2,958092;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:53.5470;12,35068;-1219,539
0,5237308;anonymous;1220;0,0002445104;3,011528;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:53.5623;12,35093;-1216,528
0,5237308;anonymous;1221;0,0008168877;2,769865;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:53.5883;12,35174;-1213,758
0,5237308;anonymous;1222;0,001112144;2,569793;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:53.6021;12,35286;-1211,188
0,5237308;anonymous;1223;0,0005976608;2,608402;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:53.6164;12,35345;-1208,58
0,5237308;anonymous;1224;0,0005560247;2,754076;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:53.6308;12,35401;-1205,826
0,5237308;anonymous;1225;0,0003841517;2,925802;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:53.6456;12,35439;-1202,9
0,5237308;anonymous;1226;0,0003044254;3,214345;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:53.6716;12,3547;-1199,686
0,5237308;anonymous;1227;0,0001970241;3,156993;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:53.6854;12,3549;-1196,529
0,5237308;anonymous;1228;0,0001372;3,083356;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:53.6988;12,35503;-1193,445
0,5237308;anonymous;1229;0,0003653788;2,98482;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:53.7136;12,3554;-1190,46
0,5237308;anonymous;1230;0,0002816515;2,941145;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:53.7295;12,35568;-1187,519
0,5237308;anonymous;1231;0,0001699382;3,011652;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:53.7552;12,35585;-1184,508
0,5237308;anonymous;1232;5,355205E-05;3,042208;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:53.7690;12,3559;-1181,465
0,5237308;anonymous;1233;5,433442E-05;3,062496;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:53.7824;12,35596;-1178,403
0,5237308;anonymous;1234;6,349365E-05;3,01986;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:53.7972;12,35602;-1175,383
0,5237308;anonymous;1235;8,815393E-05;2,88436;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:53.8125;12,35611;-1172,499
0,5237308;anonymous;1236;0,0001390535;2,814132;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:53.8377;12,35625;-1169,684
0,5237308;anonymous;1237;3,681786E-05;2,824772;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:53.8520;12,35629;-1166,86
0,5237308;anonymous;1238;0,0001861134;2,840401;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:53.8653;12,35647;-1164,019
0,5237308;anonymous;1239;0,000313974;2,880509;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:53.8801;12,35678;-1161,139
0,5237308;anonymous;1240;0,0001008993;2,892365;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:53.8960;12,35689;-1158,246
0,5237308;anonymous;1241;4,446931E-05;2,905621;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:53.9214;12,35693;-1155,341
0,5237308;anonymous;1242;6,54736E-05;2,893053;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:53.9353;12,357;-1152,448
0,5237308;anonymous;1243;0,0001916625;2,760203;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:53.9496;12,35719;-1149,687
0,5237308;anonymous;1244;0,0001847757;2,696171;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:53.9638;12,35737;-1146,991
0,5237308;anonymous;1245;7,893785E-05;2,738692;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:53.9802;12,35745;-1144,253
0,5237308;anonymous;1246;0,0002446327;2,763425;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:54.0056;12,3577;-1141,489
0,5237308;anonymous;1247;0,000529568;2,516251;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:54.0184;12,35823;-1138,973
0,5237308;anonymous;1248;0,0007684099;1,594547;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:54.0332;12,359;-1137,378
0,05539689;anonymous;1249;0,0004149566;0,498572;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:54.0475;12,35941;-1136,88
-0,07817248;anonymous;1250;0,0006470725;-0,7035522;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:54.0623;12,36006;-1137,583
-0,1801826;anonymous;1251;0,0007094436;-1,621643;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:54.0894;12,36077;-1139,205
-0,2324354;anonymous;1252;0,0009324499;-2,091919;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:54.1026;12,3617;-1141,297
-0,1264852;anonymous;1253;0,0004717843;-1,138367;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:54.1196;12,36217;-1142,435
-0,02568902;anonymous;1254;0,0009221367;-0,2312012;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:54.1325;12,36309;-1142,666
-0,02568902;anonymous;1255;0,001111419;0,246572;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:54.1462;12,36421;-1142,42
-0,02568902;anonymous;1256;0,001111383;1,151456;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:54.1718;12,36532;-1141,268
0,1688402;anonymous;1257;0,0005854997;1,519562;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:54.1857;12,3659;-1139,749
0,1360875;anonymous;1258;0,0002700636;1,224788;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:54.2005;12,36617;-1138,524
0,1033394;anonymous;1259;0,0001070964;0,930055;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:54.2141;12,36628;-1137,594
0,08592564;anonymous;1260;0,0001493159;0,7733307;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:54.2295;12,36643;-1136,821
0,08592564;anonymous;1261;0,001087117;0,5249596;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:54.2560;12,36752;-1136,296
0,08592564;anonymous;1262;0,0001675129;0,5294479;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:54.2698;12,36768;-1135,766
0,08592564;anonymous;1263;0,0001529567;0,5705531;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:54.2825;12,36784;-1135,196
0,08592564;anonymous;1264;0,0002914764;0,649328;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:54.2974;12,36813;-1134,546
0,08592564;anonymous;1265;0,0001829139;0,6958666;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:54.3130;12,36831;-1133,85
