Email;Framecount;Highscore;PlayerName;SessionID;SoundVolume;Timestamp
anonymous;1;42;NULL;e9831c92-6179-4078-9b67-3d76ccc9b9c2;NULL;2023-05-14 21:05:27.0850
anonymous;1;NULL;player1;e9831c92-6179-4078-9b67-3d76ccc9b9c2;100.0000;2023-05-14 21:05:27.0930
